------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:40:57 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1100929
decoder.bytes                                 | Total                     | 1347572059
decoder.ipv4                                  | Total                     | 1096205
decoder.ipv6                                  | Total                     | 2691
decoder.ethernet                              | Total                     | 1100929
decoder.tcp                                   | Total                     | 1070233
decoder.udp                                   | Total                     | 27863
decoder.icmpv4                                | Total                     | 12
decoder.icmpv6                                | Total                     | 695
decoder.avg_pkt_size                          | Total                     | 1224
decoder.max_pkt_size                          | Total                     | 23414
flow.tcp                                      | Total                     | 2016
flow.udp                                      | Total                     | 4974
flow.icmpv6                                   | Total                     | 25
flow.tcp_reuse                                | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 64
defrag.ipv4.fragments                         | Total                     | 68
defrag.ipv4.reassembled                       | Total                     | 32
decoder.event.ipv4.opt_pad_required           | Total                     | 25
decoder.event.ipv6.zero_len_padn              | Total                     | 401
decoder.event.ipv4.frag_overlap               | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 757
flow.wrk.flows_evicted_pkt_inject             | Total                     | 1133
flow.wrk.flows_evicted                        | Total                     | 210
flow.wrk.flows_injected                       | Total                     | 729
tcp.sessions                                  | Total                     | 2013
tcp.invalid_checksum                          | Total                     | 272326
tcp.syn                                       | Total                     | 2370
tcp.synack                                    | Total                     | 2309
tcp.rst                                       | Total                     | 985
tcp.stream_depth_reached                      | Total                     | 11
tcp.reassembly_gap                            | Total                     | 2108
tcp.overlap                                   | Total                     | 2682
detect.alert                                  | Total                     | 75
detect.alerts_suppressed                      | Total                     | 391
app_layer.flow.http                           | Total                     | 489
app_layer.tx.http                             | Total                     | 1443
app_layer.flow.ftp                            | Total                     | 14
app_layer.tx.ftp                              | Total                     | 98
app_layer.flow.tls                            | Total                     | 835
app_layer.flow.ssh                            | Total                     | 16
app_layer.flow.smb                            | Total                     | 13
app_layer.tx.smb                              | Total                     | 199
app_layer.flow.dcerpc_tcp                     | Total                     | 23
app_layer.tx.dcerpc_tcp                       | Total                     | 84
app_layer.flow.ntp                            | Total                     | 86
app_layer.tx.ntp                              | Total                     | 1175
app_layer.flow.ftp-data                       | Total                     | 8
app_layer.flow.krb5_tcp                       | Total                     | 35
app_layer.tx.krb5_tcp                         | Total                     | 38
app_layer.flow.failed_tcp                     | Total                     | 54
app_layer.flow.dns_udp                        | Total                     | 4566
app_layer.tx.dns_udp                          | Total                     | 17010
app_layer.flow.krb5_udp                       | Total                     | 111
app_layer.tx.krb5_udp                         | Total                     | 222
app_layer.flow.failed_udp                     | Total                     | 211
flow.mgr.full_hash_pass                       | Total                     | 2
flow.spare                                    | Total                     | 10575
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 6582
